"Stadtteil","Jahr","Personen","männlich","weiblich"
"Innenstadt-Ost","2007",115,52,63
"Innenstadt-Ost","2008",123,62,61
"Innenstadt-Ost","2009",124,64,60
"Innenstadt-Ost","2010",139,77,62
"Innenstadt-Ost","2011",140,75,65
"Innenstadt-Ost","2012",129,73,56
"Innenstadt-Ost","2013",127,67,60
"Innenstadt-Ost","2014",107,61,46
"Innenstadt-Ost","2015",123,54,69
"Innenstadt-Ost","2016",152,68,84
"Innenstadt-Ost","2017",141,74,67
"Innenstadt-Ost","2018",131,69,62
"Innenstadt-Ost","2019",111,64,47
"Innenstadt-Ost","2020",114,59,55
"Innenstadt-Ost","2021",121,53,68
"Innenstadt-West","2007",194,103,91
"Innenstadt-West","2008",205,106,99
"Innenstadt-West","2009",205,119,86
"Innenstadt-West","2010",188,99,89
"Innenstadt-West","2011",199,96,103
"Innenstadt-West","2012",207,105,102
"Innenstadt-West","2013",212,117,95
"Innenstadt-West","2014",216,115,101
"Innenstadt-West","2015",221,118,103
"Innenstadt-West","2016",207,97,110
"Innenstadt-West","2017",187,81,106
"Innenstadt-West","2018",177,88,89
"Innenstadt-West","2019",188,86,102
"Innenstadt-West","2020",181,93,88
"Innenstadt-West","2021",192,111,81
"Südstadt","2007",415,200,215
"Südstadt","2008",462,225,237
"Südstadt","2009",477,246,231
"Südstadt","2010",509,261,248
"Südstadt","2011",526,273,253
"Südstadt","2012",525,252,273
"Südstadt","2013",560,277,283
"Südstadt","2014",551,285,266
"Südstadt","2015",612,307,305
"Südstadt","2016",667,350,317
"Südstadt","2017",692,349,343
"Südstadt","2018",673,334,339
"Südstadt","2019",638,317,321
"Südstadt","2020",620,324,296
"Südstadt","2021",584,313,271
"Südweststadt","2007",625,320,305
"Südweststadt","2008",629,340,289
"Südweststadt","2009",651,363,288
"Südweststadt","2010",661,349,312
"Südweststadt","2011",644,325,319
"Südweststadt","2012",621,321,300
"Südweststadt","2013",644,327,317
"Südweststadt","2014",668,347,321
"Südweststadt","2015",697,351,346
"Südweststadt","2016",674,346,328
"Südweststadt","2017",656,336,320
"Südweststadt","2018",684,355,329
"Südweststadt","2019",663,345,318
"Südweststadt","2020",617,325,292
"Südweststadt","2021",595,315,280
"Weststadt","2007",630,314,316
"Weststadt","2008",654,323,331
"Weststadt","2009",637,321,316
"Weststadt","2010",627,317,310
"Weststadt","2011",621,334,287
"Weststadt","2012",638,359,279
"Weststadt","2013",655,351,304
"Weststadt","2014",651,339,312
"Weststadt","2015",639,345,294
"Weststadt","2016",627,337,290
